Date,Count,Delta
2023/10/26,11730521,0
2023/10/27,11778510,47989
2023/10/28,11819999,41489
2023/10/29,11847080,27081
2023/10/30,11880756,33676
2023/10/31,11928352,47596
2023/11/01,11981978,53626
2023/11/02,12028999,47021
2023/11/03,12077779,48780
2023/11/04,12123916,46137
2023/11/05,12161375,37459
2023/11/06,12205845,44470
2023/11/07,12256199,50354
2023/11/08,12306305,50106
2023/11/09,12354926,48621
2023/11/10,12400235,45309
2023/11/11,12440309,40074
2023/11/12,12467469,27160
2023/11/13,12497221,29752
2023/11/14,12546618,49397
2023/11/15,12607386,60768
2023/11/16,12661168,53782
2023/11/17,12716174,55006
2023/11/18,12767189,51015
2023/11/19,12797710,30521
2023/11/20,12829011,31301
2023/11/21,12875304,46293
2023/11/22,12925553,50249
2023/11/23,12974504,48951
2023/11/24,13020732,46228
2023/11/25,13064741,44009
2023/11/26,13098029,33288
2023/11/27,13135537,37508
2023/11/28,13189489,53952
2023/11/29,13243851,54362
2023/11/30,13300582,56731
2023/12/01,13361724,61142
2023/12/02,13421377,59653
2023/12/03,13468427,47050
2023/12/04,13518076,49649
2023/12/05,13583297,65221
2023/12/06,13647621,64324
2023/12/07,13714244,66623
2023/12/08,13778780,64536
2023/12/09,13833411,54631
2023/12/10,13877654,44243
2023/12/11,13923610,45956
2023/12/12,13987293,63683
2023/12/13,14058532,71239
2023/12/14,14127905,69373
2023/12/15,14193759,65854
2023/12/16,14255242,61483
2023/12/17,14303966,48724
2023/12/18,14354543,50577
2023/12/19,14417713,63170
2023/12/20,14479905,62192
2023/12/21,14544072,64167
2023/12/22,14606091,62019
2023/12/23,14661948,55857
2023/12/24,14707767,45819
2023/12/25,14756254,48487
2023/12/26,14808082,51828
2023/12/27,14865374,57292
2023/12/28,14924244,58870
2023/12/29,14980215,55971
2023/12/30,15033713,53498
2023/12/31,15080792,47079
2024/01/01,15128142,47350
2024/01/02,15178530,50388
2024/01/03,15238786,60256
2024/01/04,15302416,63630
2024/01/05,15368106,65690
2024/01/06,15429388,61282
2024/01/07,15478544,49156
2024/01/08,15532311,53767
2024/01/09,15598086,65775
2024/01/10,15654246,56160
2024/01/11,15708812,54566
2024/01/12,15758874,50062
2024/01/13,15805378,46504
2024/01/14,15841064,35686
2024/01/15,15878231,37167
2024/01/16,15923469,45238
2024/01/17,15972308,48839
2024/01/18,16021719,49411
2024/01/19,16064825,43106
2024/01/20,16107117,42292
2024/01/21,16135202,28085
2024/01/22,16165381,30179
2024/01/23,16212694,47313
2024/01/24,16257090,44396
2024/01/25,16304051,46961
2024/01/26,16350057,46006
