Date,Count,Delta
2023/10/17,24104,0
2023/10/18,24190,86
2023/10/19,24218,28
2023/10/20,24246,28
2023/10/21,24290,44
2023/10/22,24320,30
2023/10/23,24380,60
2023/10/24,24456,76
2023/10/25,24566,110
2023/10/26,24610,44
2023/10/27,24654,44
2023/10/28,24716,62
2023/10/29,24748,32
2023/10/30,24778,30
2023/10/31,24936,158
2023/11/01,25040,104
2023/11/02,25070,30
2023/11/03,25146,76
2023/11/04,25176,30
2023/11/05,25204,28
2023/11/06,25232,28
2023/11/07,25262,30
2023/11/08,25308,46
2023/11/09,25387,79
2023/11/10,25433,46
2023/11/11,25465,32
2023/11/12,25495,30
2023/11/13,25525,30
2023/11/14,25599,74
2023/11/15,25629,30
2023/11/16,25705,76
2023/11/17,25733,28
2023/11/18,25797,64
2023/11/19,25825,28
2023/11/20,25853,28
2023/11/21,25913,60
2023/11/22,25989,76
2023/11/23,26193,204
2023/11/24,26253,60
2023/11/25,26377,124
2023/11/26,26423,46
2023/11/27,26451,28
2023/11/28,26511,60
2023/11/29,26619,108
2023/11/30,26727,108
2023/12/01,26757,30
2023/12/02,26807,50
2023/12/03,26837,30
2023/12/04,26881,44
2023/12/05,26941,60
2023/12/06,27049,108
2023/12/07,27093,44
2023/12/08,27169,76
2023/12/09,27197,28
2023/12/10,27225,28
2023/12/11,27255,30
2023/12/12,27299,44
2023/12/13,27467,168
2023/12/14,27513,46
2023/12/15,27821,308
2023/12/16,27913,92
2023/12/17,27941,28
2023/12/18,27969,28
2023/12/19,28179,210
2023/12/20,28227,48
2023/12/21,28269,42
2023/12/22,28363,94
2023/12/23,28391,28
2023/12/24,28419,28
2023/12/25,28447,28
2023/12/26,28475,28
2023/12/27,28503,28
2023/12/28,28531,28
2023/12/29,28561,30
2023/12/30,28591,30
2023/12/31,28623,32
2024/01/01,28655,32
2024/01/02,28687,32
2024/01/03,28721,34
2024/01/04,28787,66
2024/01/05,28821,34
2024/01/06,28873,52
2024/01/07,28907,34
2024/01/08,28941,34
