Date,Count,Delta
2023/10/26,326,0
2023/10/27,326,0
2023/10/28,340,14
2023/10/29,340,0
2023/10/30,340,0
2023/10/31,346,6
2023/11/01,346,0
2023/11/02,348,2
2023/11/03,357,9
2023/11/04,362,5
2023/11/05,362,0
2023/11/06,418,56
2023/11/07,418,0
2023/11/08,418,0
2023/11/09,431,13
2023/11/10,436,5
2023/11/11,436,0
2023/11/12,436,0
2023/11/13,436,0
2023/11/14,436,0
2023/11/15,451,15
2023/11/16,451,0
2023/11/17,460,9
2023/11/18,460,0
2023/11/19,460,0
2023/11/20,460,0
2023/11/21,464,4
2023/11/22,471,7
2023/11/23,476,5
2023/11/24,476,0
2023/11/25,476,0
2023/11/26,476,0
2023/11/27,476,0
2023/11/28,486,10
2023/11/29,501,15
2023/11/30,518,17
2023/12/01,1010,492
2023/12/02,1210,200
2023/12/03,1215,5
2023/12/04,1215,0
2023/12/05,1315,100
2023/12/06,1406,91
2023/12/07,1423,17
2023/12/08,1761,338
2023/12/09,1901,140
2023/12/10,2018,117
2023/12/11,2266,248
2023/12/12,2460,194
2023/12/13,2627,167
2023/12/14,2753,126
2023/12/15,2987,234
2023/12/16,3066,79
2023/12/17,3074,8
2023/12/18,3161,87
2023/12/19,3289,128
2023/12/20,3472,183
2023/12/21,3607,135
2023/12/22,3743,136
2023/12/23,3805,62
2023/12/24,3829,24
2023/12/25,3877,48
2023/12/26,3935,58
2023/12/27,4087,152
2023/12/28,4181,94
2023/12/29,4286,105
2023/12/30,4346,60
2023/12/31,4406,60
2024/01/01,4466,60
2024/01/02,4540,74
2024/01/03,4665,125
2024/01/04,4803,138
2024/01/05,5018,215
2024/01/06,5157,139
2024/01/07,5207,50
2024/01/08,5381,174
2024/01/09,5719,338
2024/01/10,5819,100
2024/01/11,5896,77
2024/01/12,5987,91
2024/01/13,6088,101
2024/01/14,6090,2
2024/01/15,6156,66
2024/01/16,6205,49
2024/01/17,6381,176
2024/01/18,6518,137
2024/01/19,6637,119
2024/01/20,6659,22
2024/01/21,6671,12
2024/01/22,6740,69
2024/01/23,6824,84
2024/01/24,7043,219
2024/01/25,7440,397
2024/01/26,7521,81
2024/01/27,7549,28
2024/01/28,7570,21
2024/01/29,7614,44
2024/01/30,7823,209
2024/01/31,7925,102
2024/02/01,8026,101
2024/02/02,8158,132
2024/02/03,8219,61
2024/02/04,8225,6
2024/02/05,8296,71
2024/02/06,8375,79
2024/02/07,8605,230
2024/02/08,8667,62
2024/02/09,8743,76
2024/02/10,8782,39
2024/02/11,8798,16
2024/02/12,8838,40
2024/02/13,8931,93
2024/02/14,9019,88
2024/02/15,9105,86
2024/02/16,9199,94
2024/02/17,9311,112
2024/02/18,9483,172
2024/02/19,9537,54
2024/02/20,9627,90
2024/02/21,9697,70
2024/02/22,9784,87
2024/02/23,9891,107
2024/02/24,9929,38
2024/02/25,9937,8
2024/02/26,9987,50
2024/02/27,10079,92
2024/02/28,10259,180
2024/02/29,10516,257
2024/03/01,10589,73
2024/03/02,10992,403
2024/03/03,11000,8
2024/03/04,11100,100
2024/03/05,11204,104
2024/03/06,11300,96
2024/03/07,11362,62
2024/03/08,11415,53
2024/03/09,11435,20
2024/03/10,11455,20
2024/03/11,11473,18
2024/03/12,11547,74
2024/03/13,11592,45
2024/03/14,11652,60
2024/03/15,11829,177
2024/03/16,11862,33
2024/03/17,11870,8
2024/03/18,11916,46
2024/03/19,11980,64
2024/03/20,12044,64
2024/03/21,12111,67
2024/03/22,12179,68
2024/03/23,12274,95
2024/03/24,12276,2
2024/03/25,12304,28
2024/03/26,12381,77
2024/03/27,12463,82
2024/03/28,12532,69
2024/03/29,12603,71
2024/03/30,12625,22
2024/03/31,12633,8
2024/04/01,12689,56
2024/04/02,12782,93
2024/04/03,12858,76
2024/04/04,12936,78
2024/04/05,12994,58
2024/04/06,13043,49
2024/04/07,13052,9
2024/04/08,13082,30
2024/04/09,13145,63
2024/04/10,13247,102
2024/04/11,13283,36
2024/04/12,13313,30
2024/04/13,13325,12
2024/04/14,13379,54
2024/04/15,13411,32
2024/04/16,13462,51
2024/04/17,13652,190
2024/04/18,13844,192
2024/04/19,13940,96
2024/04/20,13971,31
2024/04/21,13991,20
2024/04/22,14033,42
2024/04/23,14127,94
2024/04/24,14219,92
2024/04/25,14307,88
2024/04/26,14410,103
2024/04/27,14459,49
2024/04/28,14466,7
2024/04/29,14538,72
2024/04/30,14628,90
2024/05/01,14676,48
2024/05/02,14734,58
2024/05/03,14788,54
2024/05/04,14829,41
2024/05/05,14829,0
2024/05/06,14885,56
2024/05/07,14995,110
2024/05/08,15099,104
2024/05/09,15146,47
2024/05/10,15211,65
2024/05/11,15249,38
2024/05/12,15271,22
2024/05/13,15349,78
2024/05/14,15430,81
2024/05/15,15562,132
2024/05/16,15680,118
2024/05/17,15792,112
2024/05/18,15865,73
2024/05/19,15877,12
2024/05/20,15957,80
2024/05/21,16130,173
2024/05/22,16249,119
2024/05/23,16369,120
2024/05/24,16732,363
2024/05/25,16800,68
2024/05/26,16812,12
2024/05/27,16879,67
2024/05/28,17083,204
2024/05/29,17269,186
2024/05/30,17381,112
2024/05/31,17537,156
2024/06/01,17686,149
2024/06/02,17728,42
2024/06/03,17825,97
2024/06/04,17984,159
2024/06/05,18159,175
2024/06/06,18306,147
2024/06/07,18441,135
2024/06/08,18665,224
2024/06/09,18748,83
2024/06/10,18854,106
2024/06/11,18972,118
2024/06/12,19116,144
2024/06/13,19248,132
2024/06/14,19402,154
2024/06/15,19486,84
2024/06/16,19500,14
2024/06/17,19544,44
2024/06/18,19668,124
2024/06/19,19832,164
2024/06/20,19981,149
2024/06/21,20100,119
2024/06/22,20172,72
2024/06/23,20188,16
2024/06/24,20248,60
2024/06/25,20377,129
2024/06/26,20485,108
2024/06/27,20836,351
2024/06/28,20929,93
2024/06/29,20985,56
2024/06/30,21002,17
2024/07/01,21076,74
2024/07/02,21180,104
2024/07/03,21288,108
2024/07/04,21436,148
2024/07/05,21531,95
2024/07/06,21579,48
2024/07/07,21591,12
2024/07/08,21649,58
2024/07/09,21769,120
2024/07/10,21881,112
2024/07/11,22012,131
2024/07/12,22097,85
2024/07/13,22139,42
2024/07/14,22139,0
2024/07/15,22211,72
2024/07/16,22321,110
2024/07/17,22427,106
2024/07/18,22533,106
2024/07/19,22629,96
2024/07/20,22665,36
2024/07/21,22665,0
2024/07/22,22725,60
2024/07/23,22827,102
2024/07/24,22941,114
2024/07/25,23023,82
2024/07/26,23103,80
2024/07/27,23161,58
2024/07/28,23161,0
2024/07/29,23229,68
2024/07/30,23427,198
2024/07/31,23515,88
2024/08/01,23721,206
2024/08/02,23813,92
2024/08/03,23875,62
2024/08/04,23879,4
2024/08/05,23953,74
2024/08/06,24075,122
2024/08/07,24169,94
2024/08/08,24312,143
2024/08/09,24420,108
2024/08/10,24476,56
2024/08/11,24487,11
2024/08/12,24575,88
2024/08/13,24701,126
2024/08/14,24822,121
2024/08/15,24952,130
2024/08/16,25048,96
2024/08/17,25117,69
2024/08/18,25119,2
2024/08/19,25175,56
2024/08/20,25316,141
2024/08/21,25413,97
2024/08/22,25535,122
2024/08/23,25639,104
2024/08/24,25721,82
2024/08/25,25771,50
2024/08/26,25873,102
2024/08/27,26090,217
2024/08/28,26338,248
2024/08/29,26526,188
2024/08/30,26680,154
2024/08/31,26862,182
2024/09/01,26892,30
2024/09/02,27041,149
2024/09/03,27299,258
2024/09/04,27453,154
2024/09/05,27515,62
2024/09/06,27609,94
2024/09/07,27632,23
2024/09/08,27634,2
2024/09/09,27697,63
2024/09/10,27821,124
2024/09/11,27931,110
2024/09/12,28056,125
2024/09/13,28136,80
2024/09/14,28203,67
2024/09/15,28212,9
2024/09/16,28245,33
