Date,Count,Delta
2023/10/26,21595,0
2023/10/27,21595,0
2023/10/28,21595,0
2023/10/29,21595,0
2023/10/30,21595,0
2023/10/31,21596,1
2023/11/01,21596,0
2023/11/02,21596,0
2023/11/03,21596,0
2023/11/04,21596,0
2023/11/05,21596,0
2023/11/06,21596,0
2023/11/07,21596,0
2023/11/08,21596,0
2023/11/09,21596,0
2023/11/10,21596,0
2023/11/11,21596,0
2023/11/12,21596,0
2023/11/13,21596,0
2023/11/14,21596,0
2023/11/15,21597,1
2023/11/16,21597,0
2023/11/17,21597,0
2023/11/18,21597,0
2023/11/19,21597,0
2023/11/20,21597,0
2023/11/21,21597,0
2023/11/22,21597,0
2023/11/23,21597,0
2023/11/24,21597,0
2023/11/25,21597,0
2023/11/26,21597,0
2023/11/27,21597,0
2023/11/28,21597,0
2023/11/29,21597,0
2023/11/30,21597,0
2023/12/01,21597,0
2023/12/02,21597,0
2023/12/03,21597,0
2023/12/04,21597,0
2023/12/05,21597,0
2023/12/06,21600,3
2023/12/07,21605,5
2023/12/08,21605,0
2023/12/09,21605,0
2023/12/10,21605,0
2023/12/11,21605,0
2023/12/12,21605,0
2023/12/13,21605,0
2023/12/14,21605,0
2023/12/15,21605,0
2023/12/16,21605,0
2023/12/17,21605,0
2023/12/18,21605,0
2023/12/19,21605,0
2023/12/20,21605,0
2023/12/21,21605,0
2023/12/22,21605,0
2023/12/23,21605,0
2023/12/24,21605,0
2023/12/25,21605,0
2023/12/26,21605,0
2023/12/27,21605,0
2023/12/28,21605,0
2023/12/29,21605,0
2023/12/30,21605,0
2023/12/31,21605,0
2024/01/01,21605,0
2024/01/02,21605,0
2024/01/03,21610,5
2024/01/04,21611,1
2024/01/05,21612,1
2024/01/06,21612,0
2024/01/07,21613,1
2024/01/08,21613,0
2024/01/09,21613,0
2024/01/10,21615,2
2024/01/11,21615,0
2024/01/12,21615,0
2024/01/13,21615,0
2024/01/14,21615,0
2024/01/15,21615,0
2024/01/16,21617,2
2024/01/17,21621,4
2024/01/18,21622,1
2024/01/19,21622,0
2024/01/20,21622,0
2024/01/21,21622,0
2024/01/22,21622,0
2024/01/23,21622,0
2024/01/24,21622,0
2024/01/25,21624,2
2024/01/26,21624,0
2024/01/27,21624,0
2024/01/28,21624,0
2024/01/29,21625,1
2024/01/30,21625,0
2024/01/31,21625,0
2024/02/01,21625,0
2024/02/02,21625,0
2024/02/03,21625,0
2024/02/04,21625,0
2024/02/05,21625,0
2024/02/06,21625,0
2024/02/07,21625,0
2024/02/08,21625,0
2024/02/09,21625,0
2024/02/10,21625,0
2024/02/11,21625,0
2024/02/12,21625,0
2024/02/13,21625,0
2024/02/14,21625,0
2024/02/15,21629,4
2024/02/16,21633,4
2024/02/17,21633,0
2024/02/18,21633,0
2024/02/19,21633,0
2024/02/20,21633,0
2024/02/21,21633,0
2024/02/22,21633,0
2024/02/23,21633,0
2024/02/24,21633,0
2024/02/25,21633,0
2024/02/26,21633,0
2024/02/27,21633,0
2024/02/28,21633,0
2024/02/29,21634,1
2024/03/01,21634,0
2024/03/02,21634,0
2024/03/03,21634,0
2024/03/04,21634,0
2024/03/05,21662,28
2024/03/06,21662,0
2024/03/07,21664,2
2024/03/08,21666,2
2024/03/09,21666,0
2024/03/10,21666,0
2024/03/11,21666,0
2024/03/12,21666,0
2024/03/13,21666,0
2024/03/14,21666,0
2024/03/15,21666,0
2024/03/16,21666,0
2024/03/17,21666,0
2024/03/18,21666,0
2024/03/19,21666,0
2024/03/20,21666,0
2024/03/21,21666,0
2024/03/22,21666,0
2024/03/23,21666,0
2024/03/24,21666,0
2024/03/25,21666,0
2024/03/26,21666,0
2024/03/27,21666,0
2024/03/28,21666,0
2024/03/29,21666,0
2024/03/30,21666,0
2024/03/31,21666,0
2024/04/01,21666,0
2024/04/02,21668,2
2024/04/03,21668,0
2024/04/04,21668,0
2024/04/05,21668,0
2024/04/06,21669,1
2024/04/07,21669,0
2024/04/08,21669,0
2024/04/09,21669,0
2024/04/10,21669,0
2024/04/11,21669,0
2024/04/12,21669,0
2024/04/13,21669,0
2024/04/14,21669,0
2024/04/15,21669,0
2024/04/16,21669,0
2024/04/17,21669,0
2024/04/18,21669,0
2024/04/19,21669,0
2024/04/20,21669,0
2024/04/21,21669,0
2024/04/22,21669,0
2024/04/23,21671,2
2024/04/24,21671,0
2024/04/25,21671,0
2024/04/26,21671,0
2024/04/27,21671,0
2024/04/28,21671,0
2024/04/29,21671,0
2024/04/30,21671,0
2024/05/01,21671,0
2024/05/02,21671,0
2024/05/03,21671,0
2024/05/04,21671,0
2024/05/05,21671,0
2024/05/06,21671,0
2024/05/07,21671,0
2024/05/08,21671,0
2024/05/09,21671,0
2024/05/10,21671,0
2024/05/11,21671,0
2024/05/12,21671,0
2024/05/13,21671,0
2024/05/14,21671,0
2024/05/15,21671,0
2024/05/16,21671,0
2024/05/17,21671,0
2024/05/18,21671,0
2024/05/19,21671,0
2024/05/20,21671,0
2024/05/21,21671,0
2024/05/22,21671,0
2024/05/23,21671,0
2024/05/24,21671,0
2024/05/25,21671,0
2024/05/26,21671,0
2024/05/27,21671,0
2024/05/28,21671,0
2024/05/29,21671,0
2024/05/30,21672,1
2024/05/31,21672,0
2024/06/01,21672,0
2024/06/02,21672,0
2024/06/03,21672,0
2024/06/04,21672,0
2024/06/05,21672,0
2024/06/06,21672,0
2024/06/07,21672,0
2024/06/08,21672,0
2024/06/09,21672,0
2024/06/10,21672,0
2024/06/11,21672,0
2024/06/12,21672,0
2024/06/13,21672,0
2024/06/14,21673,1
2024/06/15,21673,0
2024/06/16,21673,0
2024/06/17,21673,0
2024/06/18,21673,0
2024/06/19,21673,0
2024/06/20,21673,0
2024/06/21,21673,0
2024/06/22,21673,0
2024/06/23,21673,0
2024/06/24,21673,0
2024/06/25,21673,0
2024/06/26,21673,0
2024/06/27,21673,0
2024/06/28,21673,0
2024/06/29,21673,0
2024/06/30,21673,0
2024/07/01,21673,0
2024/07/02,21673,0
2024/07/03,21673,0
2024/07/04,21673,0
2024/07/05,21673,0
2024/07/06,21673,0
2024/07/07,21673,0
2024/07/08,21673,0
2024/07/09,21673,0
2024/07/10,21674,1
2024/07/11,21674,0
2024/07/12,21675,1
2024/07/13,21675,0
2024/07/14,21675,0
2024/07/15,21675,0
2024/07/16,21675,0
2024/07/17,21675,0
2024/07/18,21675,0
2024/07/19,21675,0
2024/07/20,21675,0
2024/07/21,21675,0
2024/07/22,21675,0
2024/07/23,21675,0
2024/07/24,21675,0
2024/07/25,21675,0
2024/07/26,21676,1
2024/07/27,21676,0
2024/07/28,21676,0
2024/07/29,21676,0
2024/07/30,21676,0
2024/07/31,21678,2
2024/08/01,21679,1
2024/08/02,21680,1
2024/08/03,21682,2
2024/08/04,21684,2
2024/08/05,21686,2
2024/08/06,21687,1
2024/08/07,21688,1
2024/08/08,21689,1
2024/08/09,21689,0
2024/08/10,21689,0
2024/08/11,21689,0
2024/08/12,21691,2
2024/08/13,21691,0
2024/08/14,21692,1
2024/08/15,21692,0
2024/08/16,21692,0
2024/08/17,21692,0
2024/08/18,21692,0
2024/08/19,21693,1
2024/08/20,21694,1
2024/08/21,21694,0
2024/08/22,21694,0
2024/08/23,21695,1
2024/08/24,21696,1
2024/08/25,21696,0
2024/08/26,21697,1
2024/08/27,21697,0
2024/08/28,21697,0
2024/08/29,21697,0
2024/08/30,21697,0
2024/08/31,21697,0
2024/09/01,21697,0
2024/09/02,21697,0
2024/09/03,21697,0
2024/09/04,21697,0
2024/09/05,21697,0
2024/09/06,21697,0
2024/09/07,21697,0
2024/09/08,21697,0
2024/09/09,21697,0
2024/09/10,21697,0
2024/09/11,21697,0
2024/09/12,21697,0
2024/09/13,21697,0
2024/09/14,21697,0
2024/09/15,21697,0
2024/09/16,21698,1
2024/09/17,21698,0
2024/09/18,21699,1
2024/09/19,21700,1
2024/09/20,21701,1
2024/09/21,21702,1
2024/09/22,21702,0
2024/09/23,21702,0
2024/09/24,21702,0
2024/09/25,21704,2
2024/09/26,21708,4
2024/09/27,21708,0
2024/09/28,21709,1
2024/09/29,21710,1
2024/09/30,21710,0
2024/10/01,21711,1
2024/10/02,21711,0
2024/10/03,21711,0
2024/10/04,21711,0
2024/10/05,21711,0
2024/10/06,21711,0
2024/10/07,21711,0
2024/10/08,21711,0
2024/10/09,21711,0
2024/10/10,21721,10
2024/10/11,21722,1
2024/10/12,21722,0
2024/10/13,21722,0
2024/10/14,21722,0
2024/10/15,21722,0
2024/10/16,21722,0
2024/10/17,21722,0
2024/10/18,21723,1
2024/10/19,21724,1
2024/10/20,21724,0
2024/10/21,21724,0
2024/10/22,21724,0
2024/10/23,21725,1
2024/10/24,21726,1
2024/10/25,21726,0
2024/10/26,21726,0
2024/10/27,21726,0
2024/10/28,21726,0
2024/10/29,21726,0
2024/10/31,21727,1
2024/11/01,21727,0
2024/11/02,21727,0
2024/11/03,21727,0
2024/11/04,21727,0
2024/11/05,21727,0
2024/11/06,21728,1
2024/11/07,21728,0
2024/11/08,21728,0
2024/11/09,21728,0
2024/11/10,21728,0
2024/11/11,21728,0
2024/11/12,21728,0
2024/11/13,21728,0
2024/11/14,21728,0
2024/11/15,21728,0
2024/11/16,21728,0
2024/11/17,21728,0
2024/11/18,21728,0
2024/11/19,21729,1
2024/11/20,21729,0
2024/11/21,21729,0
2024/11/22,21729,0
2024/11/23,21743,14
2024/11/24,21743,0
2024/11/25,21743,0
2024/11/26,21743,0
2024/11/27,21745,2
2024/11/28,21745,0
2024/11/29,21746,1
2024/11/30,21748,2
2024/12/01,21748,0
2024/12/02,21750,2
2024/12/03,21750,0
2024/12/04,21750,0
2024/12/05,21750,0
2024/12/06,21754,4
2024/12/07,21754,0
2024/12/08,21754,0
2024/12/09,21754,0
2024/12/10,21754,0
2024/12/11,21754,0
2024/12/12,21754,0
2024/12/13,21754,0
2024/12/14,21755,1
2024/12/15,21756,1
2024/12/16,21756,0
2024/12/17,21757,1
2024/12/18,21758,1
2024/12/19,21761,3
2024/12/20,21762,1
2024/12/21,21762,0
2024/12/22,21762,0
2024/12/23,21763,1
2024/12/24,21763,0
2024/12/25,21765,2
2024/12/26,21765,0
2024/12/27,21765,0
2024/12/28,21766,1
2024/12/29,21767,1
2024/12/30,21767,0
2024/12/31,21767,0
2025/01/01,21767,0
2025/01/02,21767,0
2025/01/03,21767,0
2025/01/04,21767,0
2025/01/05,21767,0
2025/01/06,21767,0
2025/01/07,21768,1
2025/01/08,21768,0
2025/01/09,21768,0
2025/01/10,21768,0
2025/01/11,21769,1
2025/01/12,21769,0
2025/01/13,21769,0
2025/01/14,21769,0
2025/01/15,21769,0
2025/01/16,21769,0
2025/01/17,21769,0
2025/01/18,21769,0
2025/01/19,21769,0
2025/01/20,21769,0
2025/01/21,21769,0
2025/01/22,21769,0
2025/01/23,21769,0
2025/01/24,21770,1
2025/01/25,21770,0
2025/01/26,21770,0
2025/01/27,21770,0
2025/01/28,21770,0
2025/01/29,21770,0
2025/01/30,21770,0
2025/01/31,21770,0
2025/02/01,21770,0
2025/02/02,21770,0
2025/02/03,21771,1
2025/02/04,21771,0
2025/02/05,21771,0
2025/02/06,21771,0
2025/02/07,21771,0
2025/02/08,21771,0
2025/02/09,21771,0
2025/02/10,21771,0
2025/02/11,21771,0
2025/02/12,21771,0
2025/02/13,21771,0
2025/02/14,21771,0
2025/02/15,21771,0
2025/02/16,21771,0
2025/02/17,21771,0
2025/02/18,21771,0
2025/02/19,21771,0
2025/02/20,21771,0
2025/02/21,21771,0
2025/02/22,21771,0
2025/02/23,21771,0
2025/02/24,21771,0
2025/02/25,21771,0
2025/02/26,21771,0
2025/02/27,21771,0
2025/02/28,21772,1
2025/03/01,21772,0
2025/03/02,21772,0
2025/03/03,21772,0
2025/03/04,21772,0
2025/03/05,21783,11
2025/03/06,21783,0
2025/03/07,21783,0
2025/03/08,21784,1
2025/03/09,21784,0
2025/03/10,21785,1
2025/03/11,21786,1
2025/03/12,21786,0
2025/03/13,21786,0
2025/03/14,21786,0
2025/03/15,21786,0
2025/03/16,21786,0
2025/03/17,21786,0
2025/03/18,21786,0
2025/03/19,21786,0
2025/03/20,21786,0
2025/03/21,21786,0
2025/03/22,21786,0
2025/03/23,21786,0
2025/03/24,21786,0
2025/03/25,21786,0
2025/03/26,21786,0
2025/03/27,21786,0
2025/03/28,21786,0
2025/03/29,21786,0
2025/03/30,21786,0
