Date,Count,Delta
2024/10/11,111,0
2024/10/12,167,56
2024/10/13,238,71
2024/10/14,322,84
2024/10/15,408,86
2024/10/16,498,90
2024/10/17,569,71
2024/10/18,647,78
2024/10/19,705,58
2024/10/20,802,97
2024/10/21,872,70
2024/10/22,939,67
2024/10/23,1004,65
2024/10/24,1091,87
2024/10/25,1168,77
2024/10/26,1249,81
2024/10/27,1350,101
2024/10/28,1463,113
2024/10/29,1536,73
2024/10/31,1611,75
2024/11/01,1612,1
2024/11/02,1618,6
2024/11/03,1618,0
2024/11/04,1618,0
2024/11/05,1618,0
2024/11/06,1619,1
2024/11/07,1620,1
2024/11/08,1625,5
2024/11/09,1666,41
2024/11/10,1667,1
2024/11/11,1668,1
2024/11/12,1678,10
2024/11/13,1678,0
2024/11/14,1678,0
