Date,Count,Delta
2023/10/12,10207477,0
2023/10/13,10263135,55658
2023/10/14,10308717,45582
2023/10/15,10343770,35053
2023/10/16,10390666,46896
2023/10/18,10487631,96965
2023/10/19,10544461,56830
2023/10/20,10605870,61409
2023/10/21,10661150,55280
2023/10/22,10696315,35165
2023/10/23,10732377,36062
2023/10/24,10790620,58243
2023/10/25,10854666,64046
2023/10/26,10915448,60782
2023/10/27,10975121,59673
2023/10/28,11027059,51938
2023/10/29,11056398,29339
2023/10/30,11092419,36021
2023/10/31,11147256,54837
2023/11/01,11204878,57622
2023/11/02,11256518,51640
2023/11/03,11312371,55853
2023/11/04,11367655,55284
2023/11/05,11407900,40245
2023/11/06,11454567,46667
2023/11/07,11512358,57791
2023/11/08,11573306,60948
2023/11/09,11635218,61912
2023/11/10,11695408,60190
2023/11/11,11745303,49895
2023/11/12,11775420,30117
2023/11/13,11807295,31875
2023/11/14,11861644,54349
2023/11/15,11917564,55920
2023/11/16,11975454,57890
2023/11/17,12031535,56081
2023/11/18,12087819,56284
2023/11/19,12125816,37997
2023/11/20,12165284,39468
2023/11/21,12222247,56963
2023/11/22,12282762,60515
2023/11/23,12339066,56304
2023/11/24,12396683,57617
2023/11/25,12453877,57194
2023/11/26,12495910,42033
2023/11/27,12541650,45740
2023/11/28,12612210,70560
2023/11/29,12683865,71655
2023/11/30,12749221,65356
2023/12/01,12816827,67606
2023/12/02,12883493,66666
2023/12/03,12937720,54227
2023/12/04,12995489,57769
2023/12/05,13072783,77294
2023/12/06,13147036,74253
2023/12/07,13223989,76953
2023/12/08,13294756,70767
2023/12/09,13355759,61003
2023/12/10,13407870,52111
2023/12/11,13459521,51651
2023/12/12,13535972,76451
2023/12/13,13627129,91157
2023/12/14,13713267,86138
2023/12/15,13795331,82064
2023/12/16,13873878,78547
2023/12/17,13937842,63964
2023/12/18,14000095,62253
2023/12/19,14079668,79573
2023/12/20,14157481,77813
2023/12/21,14238295,80814
2023/12/22,14312912,74617
2023/12/23,14375863,62951
2023/12/24,14428300,52437
2023/12/25,14482562,54262
2023/12/26,14543370,60808
2023/12/27,14614284,70914
2023/12/28,14684247,69963
2023/12/29,14753192,68945
2023/12/30,14816085,62893
2023/12/31,14870798,54713
2024/01/01,14924537,53739
2024/01/02,14981414,56877
2024/01/03,15053608,72194
2024/01/04,15131224,77616
2024/01/05,15213159,81935
2024/01/06,15291867,78708
2024/01/07,15356978,65111
2024/01/08,15424604,67626
2024/01/09,15511251,86647
2024/01/10,15574493,63242
2024/01/11,15635793,61300
2024/01/12,15691930,56137
2024/01/13,15742931,51001
2024/01/14,15778834,35903
2024/01/15,15817257,38423
2024/01/16,15865328,48071
2024/01/17,15918715,53387
2024/01/18,15969516,50801
2024/01/19,16011099,41583
2024/01/20,16052790,41691
2024/01/21,16075437,22647
2024/01/22,16103600,28163
2024/01/23,16146753,43153
2024/01/24,16188057,41304
2024/01/25,16229986,41929
2024/01/26,16271316,41330
2024/01/27,16305616,34300
2024/01/28,16330393,24777
2024/01/29,16355404,25011
2024/01/30,16392923,37519
2024/01/31,16431609,38686
2024/02/01,16473747,42138
2024/02/02,16517543,43796
2024/02/03,16553458,35915
2024/02/04,16576634,23176
2024/02/05,16602197,25563
2024/02/06,16644054,41857
2024/02/07,16685954,41900
2024/02/08,16725941,39987
2024/02/09,16765559,39618
2024/02/10,16797161,31602
2024/02/11,16814218,17057
2024/02/12,16833899,19681
2024/02/13,16868895,34996
2024/02/14,16902812,33917
2024/02/15,16935582,32770
2024/02/16,16971844,36262
2024/02/17,17002570,30726
2024/02/18,17020028,17458
2024/02/19,17038450,18422
2024/02/20,17068199,29749
2024/02/21,17103400,35201
2024/02/22,17137830,34430
2024/02/23,17174007,36177
2024/02/24,17203979,29972
2024/02/25,17220584,16605
2024/02/26,17239181,18597
2024/02/27,17272628,33447
2024/02/28,17306678,34050
2024/02/29,17341689,35011
2024/03/01,17376308,34619
2024/03/02,17406128,29820
2024/03/03,17422967,16839
2024/03/04,17444443,21476
2024/03/05,17479466,35023
2024/03/06,17515254,35788
2024/03/07,17549801,34547
2024/03/08,17582254,32453
2024/03/09,17609870,27616
2024/03/10,17624995,15125
2024/03/11,17642116,17121
2024/03/12,17674777,32661
2024/03/13,17708677,33900
2024/03/14,17741129,32452
2024/03/15,17772776,31647
2024/03/16,17803645,30869
2024/03/17,17821488,17843
2024/03/18,17841493,20005
2024/03/19,17874257,32764
2024/03/20,17908503,34246
2024/03/21,17944368,35865
2024/03/22,17978431,34063
2024/03/23,18010477,32046
2024/03/24,18026636,16159
2024/03/25,18044244,17608
2024/03/26,18075743,31499
2024/03/27,18108373,32630
2024/03/28,18138881,30508
2024/03/29,18168299,29418
2024/03/30,18192671,24372
2024/03/31,18208689,16018
2024/04/01,18226496,17807
2024/04/02,18255902,29406
2024/04/03,18290325,34423
2024/04/04,18327993,37668
2024/04/05,18366612,38619
2024/04/06,18402422,35810
2024/04/07,18427286,24864
2024/04/08,18454819,27533
2024/04/09,18499689,44870
2024/04/10,18538768,39079
2024/04/11,18580977,42209
2024/04/12,18624145,43168
2024/04/13,18657069,32924
2024/04/14,18679409,22340
2024/04/15,18703418,24009
2024/04/16,18741305,37887
2024/04/17,18783154,41849
2024/04/18,18826345,43191
2024/04/19,18868793,42448
2024/04/20,18905707,36914
2024/04/21,18927095,21388
2024/04/22,18949865,22770
2024/04/23,18992884,43019
2024/04/24,19029608,36724
2024/04/25,19065462,35854
2024/04/26,19101109,35647
2024/04/27,19130454,29345
2024/04/28,19147856,17402
2024/04/29,19167027,19171
2024/04/30,19200404,33377
2024/05/01,19234671,34267
2024/05/02,19263875,29204
2024/05/03,19297850,33975
2024/05/04,19324958,27108
2024/05/05,19342287,17329
2024/05/06,19362617,20330
2024/05/07,19396317,33700
2024/05/08,19434659,38342
2024/05/09,19471674,37015
2024/05/10,19507232,35558
2024/05/11,19538988,31756
2024/05/12,19560308,21320
2024/05/13,19584664,24356
2024/05/14,19622232,37568
2024/05/15,19662485,40253
2024/05/16,19700986,38501
2024/05/17,19741722,40736
2024/05/18,19774507,32785
2024/05/19,19796943,22436
2024/05/20,19821072,24129
2024/05/21,19855148,34076
2024/05/22,19895145,39997
2024/05/23,19934369,39224
2024/05/24,19972450,38081
2024/05/25,20004858,32408
2024/05/26,20026065,21207
2024/05/27,20049521,23456
2024/05/28,20119745,70224
2024/05/29,20205567,85822
2024/05/30,20251418,45851
2024/05/31,20292515,41097
2024/06/01,20328104,35589
2024/06/02,20349278,21174
2024/06/03,20374609,25331
2024/06/04,20418107,43498
2024/06/05,20464362,46255
2024/06/06,20506382,42020
2024/06/07,20549951,43569
2024/06/08,20584809,34858
2024/06/09,20607568,22759
2024/06/10,20634988,27420
2024/06/11,20679821,44833
2024/06/12,20724733,44912
2024/06/13,20767857,43124
2024/06/14,20808952,41095
2024/06/15,20842839,33887
2024/06/16,20863602,20763
2024/06/17,20887277,23675
2024/06/18,20925461,38184
2024/06/19,20965921,40460
2024/06/20,21003693,37772
2024/06/21,21043809,40116
2024/06/22,21080343,36534
2024/06/23,21100968,20625
2024/06/24,21124818,23850
2024/06/25,21162533,37715
2024/06/26,21209103,46570
2024/06/27,21255762,46659
2024/06/28,21303416,47654
2024/06/29,21338961,35545
2024/06/30,21362410,23449
2024/07/01,21390003,27593
2024/07/02,21431205,41202
2024/07/03,21477535,46330
2024/07/04,21521284,43749
2024/07/05,21559792,38508
2024/07/06,21593987,34195
2024/07/07,21618946,24959
2024/07/08,21646894,27948
2024/07/09,21691748,44854
2024/07/10,21735947,44199
2024/07/11,21777692,41745
2024/07/12,21818125,40433
2024/07/13,21850516,32391
2024/07/14,21872007,21491
2024/07/15,21897948,25941
2024/07/16,21943558,45610
2024/07/17,21986606,43048
2024/07/18,22029809,43203
2024/07/19,22069689,39880
2024/07/20,22105218,35529
2024/07/21,22128071,22853
2024/07/22,22153342,25271
2024/07/23,22195565,42223
2024/07/24,22240912,45347
2024/07/25,22285131,44219
2024/07/26,22322363,37232
2024/07/27,22354845,32482
2024/07/28,22377460,22615
2024/07/29,22402357,24897
2024/07/30,22441500,39143
2024/07/31,22482413,40913
2024/08/01,22522833,40420
2024/08/02,22564273,41440
2024/08/03,22597456,33183
2024/08/04,22621047,23591
2024/08/05,22646580,25533
2024/08/06,22688052,41472
2024/08/07,22730019,41967
2024/08/08,22771580,41561
2024/08/09,22812706,41126
2024/08/10,22854527,41821
2024/08/11,22880132,25605
2024/08/12,22906624,26492
2024/08/13,22946481,39857
2024/08/14,22988437,41956
2024/08/15,23029126,40689
2024/08/16,23066775,37649
2024/08/17,23103104,36329
2024/08/18,23126583,23479
2024/08/19,23155071,28488
2024/08/20,23199595,44524
2024/08/21,23244527,44932
2024/08/22,23297678,53151
2024/08/23,23346491,48813
2024/08/24,23390345,43854
2024/08/25,23417584,27239
2024/08/26,23450573,32989
2024/08/27,23495000,44427
2024/08/28,23538943,43943
2024/08/29,23584847,45904
2024/08/30,23630224,45377
2024/08/31,23669155,38931
2024/09/01,23698101,28946
2024/09/02,23728316,30215
2024/09/03,23769129,40813
2024/09/04,23804162,35033
2024/09/05,23829402,25240
2024/09/06,23853693,24291
2024/09/07,23874401,20708
2024/09/08,23889309,14908
2024/09/09,23905656,16347
2024/09/10,23929458,23802
2024/09/11,23953498,24040
2024/09/12,23977562,24064
2024/09/13,24000931,23369
2024/09/14,24021043,20112
2024/09/15,24034304,13261
2024/09/16,24049271,14967
2024/09/17,24074477,25206
2024/09/18,24098049,23572
2024/09/19,24120985,22936
2024/09/20,24143658,22673
2024/09/21,24164178,20520
2024/09/22,24178663,14485
2024/09/23,24194287,15624
2024/09/24,24217576,23289
2024/09/25,24240540,22964
2024/09/26,24263499,22959
2024/09/27,24286173,22674
2024/09/28,24306777,20604
2024/09/29,24321728,14951
2024/09/30,24338443,16715
2024/10/01,24359999,21556
2024/10/02,24383009,23010
2024/10/03,24405261,22252
2024/10/04,24425575,20314
2024/10/05,24443052,17477
2024/10/06,24456343,13291
2024/10/07,24470442,14099
2024/10/08,24494819,24377
2024/10/09,24521281,26462
2024/10/10,24548565,27284
2024/10/11,24578385,29820
2024/10/12,24603656,25271
2024/10/13,24616096,12440
2024/10/14,24631185,15089
2024/10/15,24651945,20760
2024/10/16,24673591,21646
2024/10/17,24696489,22898
2024/10/18,24718019,21530
2024/10/19,24736860,18841
2024/10/20,24749508,12648
2024/10/21,24764350,14842
2024/10/22,24787982,23632
2024/10/23,24813707,25725
2024/10/24,24837712,24005
2024/10/25,24859890,22178
2024/10/26,24879027,19137
2024/10/27,24891306,12279
2024/10/28,24904751,13445
2024/10/29,24927137,22386
2024/10/31,24975007,47870
2024/11/01,24996897,21890
2024/11/02,25015692,18795
2024/11/03,25027308,11616
2024/11/04,25040843,13535
2024/11/05,25064459,23616
2024/11/06,25089705,25246
