Date,Count,Delta
2021/02/14,30,0
2021/02/15,32,2
2021/02/16,36,4
2021/02/17,36,0
2021/02/18,65,29
2021/02/19,110,45
2021/02/20,118,8
2021/02/21,122,4
2021/02/22,137,15
2021/02/23,163,26
2021/02/24,188,25
2021/02/25,215,27
2021/02/26,258,43
2021/02/27,288,30
2021/02/28,319,31
2021/03/01,357,38
2021/03/02,408,51
2021/03/03,469,61
2021/03/04,526,57
2021/03/05,575,49
2021/03/06,625,50
2021/03/07,660,35
2021/03/08,704,44
2021/03/09,773,69
2021/03/10,841,68
2021/03/11,948,107
2021/03/12,1025,77
2021/03/13,1075,50
2021/03/14,1097,22
2021/03/15,1141,44
2021/03/16,1214,73
2021/03/17,1311,97
2021/03/18,1423,112
2021/03/19,1497,74
2021/03/20,1560,63
2021/03/21,1595,35
2021/03/22,1655,60
2021/03/23,1736,81
2021/03/24,1825,89
2021/03/25,1900,75
2021/03/26,1977,77
2021/03/27,2049,72
2021/03/28,2082,33
2021/03/29,2132,50
2021/03/30,2233,101
2021/03/31,2319,86
2021/04/01,2409,90
2021/04/02,2479,70
2021/04/03,2552,73
2021/04/04,2592,40
2021/04/05,2633,41
2021/04/06,2717,84
2021/04/07,2882,165
2021/04/08,3018,136
2021/04/09,3225,207
2021/04/10,3327,102
2021/04/11,3401,74
2021/04/12,3482,81
2021/04/13,3611,129
2021/04/14,3798,187
2021/04/15,3921,123
2021/04/16,4117,196
2021/04/17,4255,138
2021/04/18,4367,112
2021/04/19,4449,82
2021/04/20,4618,169
2021/04/21,4742,124
2021/04/22,4868,126
2021/04/23,5064,196
2021/04/24,5164,100
2021/04/25,5212,48
2021/04/26,5283,71
2021/04/27,5436,153
2021/04/28,5590,154
2021/04/29,5770,180
2021/04/30,5891,121
2021/05/01,5988,97
2021/05/02,6051,63
2021/05/03,6113,62
2021/05/04,6247,134
2021/05/05,6411,164
2021/05/06,6578,167
2021/05/07,6760,182
2021/05/08,6921,161
2021/05/09,6996,75
2021/05/10,7136,140
2021/05/11,7324,188
2021/05/12,7521,197
2021/05/13,7854,333
2021/05/14,8007,153
2021/05/15,8109,102
2021/05/16,8185,76
2021/05/17,8310,125
2021/05/18,8531,221
2021/05/19,8781,250
2021/05/20,9030,249
2021/05/21,9302,272
2021/05/22,9557,255
2021/05/23,9723,166
2021/05/24,9922,199
2021/05/25,10185,263
2021/05/26,10526,341
2021/05/27,10868,342
2021/05/28,11243,375
2021/05/29,11513,270
2021/05/30,11777,264
2021/05/31,12028,251
2021/06/01,12356,328
2021/06/02,12699,343
2021/06/03,13048,349
2021/06/04,13398,350
2021/06/05,13688,290
2021/06/06,13910,222
2021/06/07,14154,244
2021/06/10,15302,1148
2021/06/11,15614,312
2021/06/12,15924,310
2021/06/13,16186,262
2021/06/14,16466,280
2021/06/15,16847,381
2021/06/16,17244,397
2021/06/17,17645,401
2021/06/18,18029,384
2021/06/19,18417,388
2021/06/20,18754,337
2021/06/21,19107,353
2021/06/22,19572,465
2021/06/23,19934,362
2021/06/24,20367,433
2021/06/25,20752,385
2021/06/26,21071,319
2021/06/27,21319,248
2021/06/28,21605,286
2021/06/29,22076,471
2021/06/30,22476,400
2021/07/01,22847,371
2021/07/02,23253,406
2021/07/03,23594,341
2021/07/04,23870,276
2021/07/05,24169,299
2021/07/06,24563,394
2021/07/07,24977,414
2021/07/08,25381,404
2021/07/09,25749,368
2021/07/10,26071,322
2021/07/11,26343,272
2021/07/12,26645,302
2021/07/13,27053,408
2021/07/14,27432,379
2021/07/15,27844,412
2021/07/16,28277,433
2021/07/17,28677,400
2021/07/18,28983,306
2021/07/19,29330,347
2021/07/20,29803,473
2021/07/21,30305,502
2021/07/22,31070,765
2021/07/23,31789,719
2021/07/24,32426,637
2021/07/25,33156,730
2021/07/26,33979,823
2021/07/27,34612,633
2021/07/28,35228,616
2021/07/29,35869,641
2021/07/30,36414,545
2021/07/31,36906,492
2021/08/01,37385,479
2021/08/02,37885,500
2021/08/03,38463,578
2021/08/04,39007,544
2021/08/05,39628,621
2021/08/06,40297,669
2021/08/07,40914,617
2021/08/08,41488,574
2021/08/09,42091,603
2021/08/10,42822,731
2021/08/11,43610,788
2021/08/12,44383,773
2021/08/13,45204,821
2021/08/14,45955,751
2021/08/15,46666,711
2021/08/16,47366,700
2021/08/17,48205,839
2021/08/18,49369,1164
2021/08/19,50242,873
2021/08/20,51068,826
2021/08/21,51818,750
2021/08/22,52415,597
2021/08/23,53019,604
2021/08/24,53700,681
2021/08/25,54377,677
2021/08/26,55095,718
2021/08/27,55897,802
2021/08/28,56607,710
2021/08/29,57193,586
2021/08/30,57772,579
2021/08/31,58528,756
2021/09/01,59272,744
2021/09/02,60097,825
2021/09/03,60806,709
2021/09/04,61524,718
2021/09/05,62238,714
2021/09/06,62910,672
2021/09/07,63718,808
2021/09/08,64607,889
2021/09/09,65493,886
2021/09/10,66291,798
2021/09/11,67117,826
2021/09/12,67809,692
2021/09/13,68675,866
2021/09/14,69604,929
2021/09/15,70632,1028
2021/09/16,71442,810
2021/09/17,72262,820
2021/09/18,72932,670
2021/09/19,73522,590
2021/09/20,74143,621
2021/09/21,74939,796
2021/09/22,75699,760
2021/09/23,76513,814
2021/09/24,77359,846
2021/09/25,78070,711
2021/09/26,78765,695
2021/09/27,79527,762
2021/09/28,80319,792
2021/09/29,81191,872
2021/09/30,82008,817
2021/10/01,82884,876
2021/10/02,83622,738
2021/10/03,84285,663
2021/10/04,85007,722
2021/10/05,85735,728
2021/10/06,86442,707
2021/10/07,87238,796
2021/10/08,88096,858
2021/10/09,88781,685
2021/10/10,89345,564
2021/10/11,89923,578
2021/10/12,90780,857
2021/10/13,91655,875
2021/10/14,92420,765
2021/10/15,93290,870
2021/10/16,94146,856
2021/10/17,94973,827
2021/10/18,95923,950
2021/10/19,96931,1008
2021/10/20,97791,860
2021/10/21,98745,954
2021/10/22,99583,838
2021/10/23,100345,762
2021/10/24,101097,752
2021/10/25,101751,654
2021/10/26,102549,798
2021/10/27,103328,779
2021/10/28,104130,802
2021/10/29,104934,804
2021/10/30,105587,653
2021/10/31,106122,535
2021/11/01,106711,589
2021/11/02,107504,793
2021/11/03,108365,861
2021/11/04,109171,806
2021/11/05,110161,990
2021/11/06,110857,696
2021/11/07,111359,502
2021/11/08,111928,569
2021/11/09,112610,682
2021/11/10,113389,779
2021/11/11,114171,782
2021/11/12,114937,766
2021/11/13,115703,766
2021/11/14,116320,617
2021/11/15,116978,658
2021/11/16,117752,774
2021/11/17,118532,780
2021/11/18,119427,895
2021/11/19,120305,878
2021/11/20,121063,758
2021/11/21,121710,647
2021/11/22,122413,703
2021/11/23,123343,930
2021/11/24,124234,891
2021/11/25,125191,957
2021/11/26,125933,742
2021/11/27,126602,669
2021/11/28,127231,629
2021/11/29,127866,635
2021/11/30,128699,833
2021/12/01,129495,796
2021/12/02,130372,877
2021/12/03,131256,884
2021/12/04,132286,1030
2021/12/05,133039,753
2021/12/06,133743,704
2021/12/07,135435,1692
2021/12/08,137020,1585
2021/12/09,138726,1706
2021/12/10,140437,1711
2021/12/11,142039,1602
2021/12/12,143587,1548
2021/12/13,145125,1538
2021/12/14,146728,1603
2021/12/15,148415,1687
2021/12/16,149955,1540
2021/12/17,151670,1715
2021/12/18,153299,1629
2021/12/19,154796,1497
2021/12/20,156471,1675
2021/12/21,158193,1722
2021/12/22,159935,1742
2021/12/23,161392,1457
2021/12/24,163028,1636
2021/12/25,164580,1552
2021/12/26,166025,1445
2021/12/27,167545,1520
2021/12/28,169087,1542
2021/12/29,170568,1481
2021/12/30,171989,1421
2021/12/31,173415,1426
2022/01/01,175140,1725
2022/01/02,176851,1711
2022/01/03,178555,1704
2022/01/04,180317,1762
2022/01/05,182166,1849
2022/01/06,184087,1921
2022/01/07,186009,1922
2022/01/08,187774,1765
2022/01/09,189484,1710
2022/01/10,191293,1809
2022/01/11,193191,1898
2022/01/12,195006,1815
2022/01/13,196752,1746
2022/01/14,198312,1560
2022/01/15,199761,1449
2022/01/16,201111,1350
2022/01/17,202579,1468
2022/01/18,204061,1482
2022/01/19,205647,1586
2022/01/20,207208,1561
2022/01/21,208920,1712
2022/01/22,210347,1427
2022/01/23,211756,1409
2022/01/24,213205,1449
2022/01/25,214891,1686
2022/01/26,216425,1534
2022/01/27,218064,1639
2022/01/28,219697,1633
2022/01/29,220709,1012
2022/01/30,222475,1766
2022/01/31,223914,1439
2022/02/01,225505,1591
2022/02/02,227070,1565
2022/02/03,228582,1512
2022/02/04,230074,1492
2022/02/05,231402,1328
2022/02/06,232732,1330
2022/02/07,234107,1375
2022/02/08,235678,1571
2022/02/09,237135,1457
2022/02/10,238510,1375
2022/02/11,239961,1451
2022/02/12,241671,1710
2022/02/13,243257,1586
2022/02/14,244902,1645
2022/02/15,246684,1782
2022/02/16,248469,1785
2022/02/17,250297,1828
2022/02/18,252169,1872
2022/02/19,254435,2266
2022/02/20,256328,1893
2022/02/21,258358,2030
2022/02/22,259906,1548
2022/02/23,261454,1548
2022/02/24,262981,1527
2022/02/25,264511,1530
2022/02/26,265923,1412
2022/02/27,267294,1371
2022/02/28,268709,1415
2022/03/01,270111,1402
2022/03/02,270654,543
2022/03/03,271210,556
2022/03/04,271774,564
2022/03/05,272140,366
2022/03/06,272417,277
2022/03/07,272731,314
2022/03/08,273083,352
2022/03/09,273498,415
2022/03/10,273935,437
2022/03/11,274373,438
2022/03/12,274737,364
2022/03/13,275007,270
2022/03/14,275290,283
2022/03/15,275809,519
2022/03/16,276387,578
2022/03/17,276838,451
2022/03/18,277317,479
2022/03/19,277704,387
2022/03/20,277975,271
2022/03/21,278226,251
2022/03/22,278649,423
2022/03/23,279031,382
2022/03/24,279473,442
2022/03/25,279902,429
2022/03/26,280212,310
2022/03/27,280409,197
2022/03/28,280669,260
2022/03/29,281094,425
2022/03/30,281478,384
2022/03/31,281833,355
2022/04/01,282266,433
2022/04/02,282643,377
2022/04/03,282921,278
2022/04/04,283270,349
2022/04/05,283753,483
2022/04/06,284150,397
2022/04/07,284502,352
2022/04/08,284913,411
2022/04/09,285303,390
2022/04/10,285574,271
2022/04/11,285857,283
2022/04/12,286304,447
2022/04/13,286758,454
2022/04/14,287188,430
2022/04/15,287574,386
2022/04/16,287918,344
2022/04/17,288241,323
2022/04/18,288580,339
2022/04/19,289018,438
2022/04/20,289451,433
2022/04/21,289840,389
2022/04/22,290263,423
2022/04/23,290665,402
2022/04/24,291024,359
2022/04/25,291400,376
2022/04/26,291834,434
2022/04/27,292302,468
2022/04/28,292727,425
2022/04/29,293114,387
2022/04/30,293463,349
2022/05/01,293808,345
2022/05/02,294142,334
2022/05/03,294515,373
2022/05/04,294930,415
2022/05/05,295359,429
2022/05/06,295766,407
2022/05/07,296094,328
2022/05/08,296394,300
2022/05/09,296773,379
2022/05/10,297235,462
2022/05/11,297706,471
2022/05/12,299301,1595
2022/05/13,300443,1142
2022/05/14,302529,2086
2022/05/15,304899,2370
2022/05/16,307195,2296
2022/05/17,309346,2151
2022/05/18,310757,1411
2022/05/19,312367,1610
2022/05/20,314039,1672
2022/05/21,315424,1385
2022/05/22,316927,1503
2022/05/23,318546,1619
2022/05/24,320272,1726
2022/05/25,321618,1346
2022/05/26,322724,1106
2022/05/27,323903,1179
2022/05/28,325193,1290
2022/05/29,326313,1120
2022/05/30,327498,1185
2022/05/31,328710,1212
2022/06/01,329934,1224
2022/06/02,330592,658
2022/06/03,331021,429
2022/06/04,331357,336
2022/06/05,331610,253
2022/06/06,331877,267
2022/06/07,332472,595
2022/06/08,333069,597
2022/06/09,333543,474
2022/06/10,334023,480
2022/06/11,334386,363
2022/06/12,334755,369
2022/06/13,335102,347
2022/06/14,335561,459
2022/06/15,336002,441
2022/06/16,336363,361
2022/06/17,336713,350
2022/06/18,337035,322
2022/06/19,337304,269
2022/06/20,337674,370
2022/06/21,338083,409
2022/06/22,338661,578
2022/06/23,339226,565
2022/06/24,339760,534
2022/06/25,340225,465
2022/06/26,340654,429
2022/06/27,341091,437
2022/06/28,341585,494
2022/06/29,342083,498
2022/06/30,342603,520
2022/07/01,343363,760
2022/07/02,343980,617
2022/07/03,344526,546
2022/07/04,345058,532
2022/07/05,345543,485
2022/07/06,346086,543
2022/07/07,346718,632
2022/07/08,347236,518
2022/07/09,347658,422
2022/07/10,348059,401
2022/07/11,348471,412
2022/07/12,349071,600
2022/07/13,349635,564
2022/07/14,350137,502
2022/07/15,350640,503
2022/07/16,351086,446
2022/07/17,351489,403
2022/07/18,351975,486
2022/07/19,352554,579
2022/07/20,353133,579
2022/07/21,353655,522
2022/07/22,354231,576
2022/07/23,354605,374
2022/07/24,354939,334
2022/07/25,355364,425
2022/07/26,355873,509
2022/07/27,356525,652
2022/07/28,357331,806
2022/07/29,358083,752
2022/07/30,358732,649
2022/07/31,359176,444
2022/08/01,359721,545
2022/08/02,360410,689
2022/08/03,361095,685
2022/08/04,361790,695
2022/08/05,362513,723
2022/08/06,363119,606
2022/08/07,363627,508
2022/08/08,364251,624
2022/08/09,364989,738
2022/08/10,365704,715
2022/08/11,366446,742
2022/08/12,367082,636
2022/08/13,367654,572
2022/08/14,368126,472
2022/08/15,368678,552
2022/08/16,369297,619
2022/08/17,369862,565
2022/08/18,370438,576
2022/08/19,370977,539
2022/08/20,371482,505
2022/08/21,371955,473
2022/08/22,372460,505
2022/08/23,373030,570
2022/08/24,373604,574
2022/08/25,374273,669
2022/08/26,374843,570
2022/08/27,375373,530
2022/08/28,375886,513
2022/08/29,376420,534
2022/08/30,376951,531
2022/08/31,377461,510
2022/09/01,377981,520
2022/09/02,378549,568
2022/09/03,379051,502
2022/09/04,379522,471
2022/09/05,380073,551
2022/09/06,380663,590
2022/09/07,381217,554
2022/09/08,381811,594
2022/09/09,382415,604
2022/09/10,382954,539
2022/09/11,383400,446
2022/09/12,383901,501
2022/09/13,384511,610
2022/09/14,385126,615
2022/09/15,385683,557
2022/09/16,386237,554
2022/09/17,386743,506
2022/09/18,387212,469
2022/09/19,387769,557
2022/09/21,388851,1082
2022/09/22,389412,561
2022/09/23,389977,565
2022/09/24,390441,464
2022/09/25,390880,439
2022/09/26,391363,483
2022/09/27,391969,606
2022/09/28,392604,635
2022/09/29,393230,626
2022/09/30,393850,620
2022/10/01,394393,543
2022/10/02,394818,425
2022/10/03,395361,543
2022/10/04,396084,723
2022/10/05,396899,815
2022/10/06,397461,562
2022/10/07,398101,640
2022/10/08,398680,579
2022/10/09,399148,468
2022/10/10,399743,595
2022/10/11,400489,746
2022/10/12,401236,747
2022/10/13,402014,778
2022/10/14,402860,846
2022/10/15,403537,677
2022/10/16,404177,640
2022/10/17,404821,644
2022/10/18,405584,763
2022/10/19,406360,776
2022/10/20,407163,803
2022/10/21,407906,743
2022/10/22,408632,726
2022/10/23,409266,634
2022/10/24,409952,686
2022/10/25,410739,787
2022/10/26,411541,802
2022/10/27,412301,760
2022/10/28,413014,713
2022/10/29,413710,696
2022/10/30,414286,576
2022/10/31,414895,609
2022/11/01,415663,768
2022/11/02,416382,719
2022/11/03,417103,721
2022/11/04,417853,750
2022/11/05,418569,716
2022/11/06,419173,604
2022/11/07,419830,657
2022/11/08,420497,667
2022/11/09,421206,709
2022/11/10,421913,707
2022/11/11,422577,664
2022/11/12,423252,675
2022/11/13,423837,585
2022/11/14,424510,673
2022/11/15,425298,788
2022/11/16,426079,781
2022/11/17,426968,889
2022/11/18,427842,874
2022/11/19,428615,773
2022/11/20,429460,845
2022/11/21,430377,917
2022/11/22,431254,877
2022/11/23,432082,828
2022/11/24,432898,816
2022/11/25,433692,794
2022/11/26,434327,635
2022/11/27,434981,654
2022/11/28,435704,723
2022/11/29,436607,903
2022/11/30,437423,816
2022/12/01,438237,814
2022/12/02,439007,770
2022/12/03,439720,713
2022/12/04,440324,604
2022/12/05,441044,720
2022/12/06,441882,838
2022/12/07,442668,786
2022/12/08,443475,807
2022/12/09,444434,959
2022/12/10,445125,691
2022/12/11,445824,699
2022/12/12,446693,869
2022/12/13,447929,1236
2022/12/14,449165,1236
2022/12/15,450163,998
2022/12/16,451084,921
2022/12/17,451890,806
2022/12/18,452563,673
2022/12/19,453396,833
2022/12/20,454320,924
2022/12/21,455192,872
2022/12/22,456078,886
2022/12/23,456933,855
2022/12/24,457664,731
2022/12/25,458315,651
2022/12/26,459077,762
2022/12/27,459743,666
2022/12/28,460467,724
2022/12/29,461183,716
2022/12/30,461895,712
2022/12/31,462495,600
2023/01/01,463036,541
2023/01/02,463651,615
2023/01/03,464445,794
2023/01/04,465216,771
2023/01/05,466105,889
2023/01/06,466869,764
2023/01/07,467511,642
2023/01/08,468111,600
2023/01/09,468833,722
2023/01/10,469745,912
2023/01/11,470681,936
2023/01/12,471616,935
2023/01/13,472580,964
2023/01/14,473348,768
2023/01/15,473999,651
2023/01/16,474766,767
2023/01/17,475645,879
2023/01/18,476584,939
2023/01/19,477599,1015
2023/01/20,478518,919
2023/01/21,479389,871
2023/01/22,480105,716
2023/01/23,480873,768
2023/01/24,481687,814
2023/01/25,482572,885
2023/01/26,483592,1020
2023/01/27,484661,1069
2023/01/28,485539,878
2023/01/29,486198,659
2023/01/30,487069,871
2023/01/31,488093,1024
2023/02/01,489224,1131
2023/02/02,490438,1214
2023/02/03,491723,1285
2023/02/04,492737,1014
2023/02/05,493547,810
2023/02/06,494493,946
2023/02/08,497018,2525
2023/02/09,498156,1138
2023/02/10,499222,1066
2023/02/11,500028,806
2023/02/13,501485,1457
2023/02/14,502580,1095
2023/02/15,503724,1144
2023/02/17,505880,2156
2023/02/18,506785,905
2023/02/19,507472,687
2023/02/21,509474,2002
2023/02/22,510597,1123
2023/02/23,511720,1123
2023/02/24,512873,1153
2023/02/25,513879,1006
2023/03/01,517466,3587
2023/03/02,518450,984
2023/03/03,519301,851
2023/03/04,520064,763
2023/03/05,520648,584
2023/03/06,521475,827
2023/03/07,522407,932
2023/03/08,523389,982
2023/03/09,524549,1160
2023/03/10,525744,1195
2023/03/11,526719,975
