Date,Count,Delta
2019/08/28,2,0
2019/08/29,2,0
2019/08/30,9,7
2019/08/31,106,97
2019/09/01,108,2
2019/09/02,134,26
2019/09/03,173,39
2019/09/04,434,261
2019/09/05,492,58
2019/09/06,615,123
2019/09/07,761,146
2019/09/08,761,0
2019/09/09,816,55
2019/09/10,950,134
2019/09/11,1084,134
2019/09/12,1104,20
2019/09/13,1111,7
2019/09/14,1111,0
2019/09/15,1111,0
2019/09/16,1157,46
2019/09/17,1194,37
2019/09/18,1210,16
2019/09/19,1232,22
2019/09/20,1232,0
2019/09/21,1232,0
2019/09/22,1232,0
2019/09/23,1235,3
2019/09/24,7685,6450
2019/09/25,7988,303
2019/09/26,8042,54
2019/09/27,8086,44
2019/09/28,8086,0
2019/09/29,8086,0
2019/09/30,8087,1
2019/10/01,8188,101
2019/10/02,8200,12
2019/10/03,8250,50
2019/10/04,8373,123
2019/10/05,8401,28
2019/10/06,8408,7
2019/10/07,8409,1
2019/10/08,8524,115
2019/10/09,8532,8
2019/10/10,8603,71
2019/10/11,8659,56
2019/10/12,8707,48
2019/10/13,8707,0
2019/10/14,8771,64
2019/10/15,8842,71
2019/10/16,8992,150
2019/10/17,9467,475
2019/10/18,9713,246
2019/10/19,9995,282
2019/10/20,10255,260
2019/10/21,10572,317
2019/10/22,10903,331
2019/10/23,10986,83
2019/10/24,11041,55
2019/10/25,11467,426
2019/10/26,12042,575
2019/10/27,12206,164
2019/10/28,12277,71
2019/10/29,12380,103
2019/10/30,12470,90
2019/10/31,12490,20
2019/11/01,12642,152
2019/11/02,12707,65
2019/11/03,12783,76
2019/11/04,13239,456
2019/11/05,13754,515
2019/11/06,14426,672
2019/11/07,15159,733
2019/11/08,15837,678
2019/11/09,16155,318
2019/11/10,16292,137
2019/11/11,16776,484
2019/11/12,17425,649
2019/11/13,18001,576
2019/11/14,18931,930
2019/11/15,19596,665
2019/11/16,20055,459
2019/11/17,20321,266
2019/11/18,20694,373
2019/11/19,21490,796
2019/11/20,22307,817
2019/11/21,23572,1265
2019/11/22,24904,1332
2019/11/23,25591,687
2019/11/24,25738,147
2019/11/25,26321,583
2019/11/26,27371,1050
2019/11/27,28516,1145
2019/11/28,29413,897
2019/11/29,30216,803
2019/11/30,30967,751
2019/12/01,31052,85
2019/12/02,31591,539
2019/12/03,32710,1119
2019/12/04,34168,1458
2019/12/05,35164,996
2019/12/06,35858,694
2019/12/07,36239,381
2019/12/08,36536,297
2019/12/09,36849,313
2019/12/10,37305,456
2019/12/11,39011,1706
2019/12/12,40333,1322
2019/12/13,41472,1139
2019/12/14,42265,793
2019/12/15,42508,243
2019/12/16,43081,573
2019/12/17,44534,1453
2019/12/18,45853,1319
2019/12/19,47028,1175
2019/12/20,47575,547
2019/12/21,47880,305
2019/12/22,47884,4
2019/12/23,48428,544
2019/12/24,48877,449
2019/12/25,48882,5
2019/12/26,49219,337
2019/12/27,49683,464
2019/12/28,49784,101
2019/12/29,49786,2
2019/12/30,49981,195
2019/12/31,50538,557
2020/01/01,50625,87
2020/01/02,50860,235
2020/01/03,51338,478
2020/01/04,51413,75
2020/01/05,51419,6
2020/01/06,51501,82
2020/01/07,51809,308
2020/01/08,52676,867
2020/01/09,53759,1083
2020/01/10,54978,1219
2020/01/11,55761,783
2020/01/12,55828,67
2020/01/13,56622,794
2020/01/14,58214,1592
2020/01/15,59431,1217
2020/01/16,60331,900
2020/01/17,62154,1823
2020/01/18,63643,1489
2020/01/19,64460,817
2020/01/20,65872,1412
2020/01/21,67662,1790
2020/01/22,69453,1791
2020/01/23,71212,1759
2020/01/24,73267,2055
2020/01/25,74537,1270
2020/01/26,75335,798
2020/01/27,76767,1432
2020/01/28,79124,2357
2020/01/29,81637,2513
2020/01/30,83863,2226
2020/01/31,86340,2477
2020/02/01,87692,1352
2020/02/02,88663,971
2020/02/03,89862,1199
2020/02/04,91420,1558
2020/02/05,92794,1374
2020/02/06,94149,1355
2020/02/07,95124,975
2020/02/08,95836,712
2020/02/09,96571,735
2020/02/10,97335,764
2020/02/11,98296,961
2020/02/12,99070,774
2020/02/13,99906,836
2020/02/14,100752,846
2020/02/15,101480,728
2020/02/16,102182,702
2020/02/17,102885,703
2020/02/18,103582,697
2020/02/19,104379,797
2020/02/20,105119,740
2020/02/21,105954,835
2020/02/22,106719,765
2020/02/23,107439,720
2020/02/24,108194,755
2020/02/25,109562,1368
2020/02/26,110924,1362
2020/02/27,112384,1460
2020/02/28,113863,1479
2020/02/29,115274,1411
2020/03/01,116621,1347
2020/03/02,117985,1364
2020/03/03,119481,1496
2020/03/04,120872,1391
2020/03/05,122252,1380
2020/03/06,123600,1348
2020/03/07,124907,1307
2020/03/08,126279,1372
2020/03/09,127709,1430
2020/03/10,129245,1536
2020/03/11,130713,1468
2020/03/12,132500,1787
2020/03/13,133900,1400
2020/03/14,135229,1329
2020/03/15,136556,1327
2020/03/16,137833,1277
2020/03/17,139317,1484
2020/03/18,140751,1434
2020/03/19,142811,2060
2020/03/20,144665,1854
2020/03/21,146446,1781
2020/03/22,148373,1927
2020/03/23,149799,1426
2020/03/24,151228,1429
2020/03/25,153000,1772
2020/03/26,154482,1482
2020/03/27,155905,1423
2020/03/28,157241,1336
2020/03/29,158552,1311
2020/03/30,159932,1380
2020/03/31,161311,1379
2020/04/01,162677,1366
2020/04/02,164032,1355
2020/04/03,165461,1429
2020/04/04,166945,1484
2020/04/05,168279,1334
2020/04/06,169695,1416
2020/04/07,171239,1544
2020/04/08,172940,1701
2020/04/09,173929,989
2020/04/10,174800,871
2020/04/11,175434,634
2020/04/12,176126,692
2020/04/13,176810,684
2020/04/14,177523,713
2020/04/15,178281,758
2020/04/16,179018,737
2020/04/17,179757,739
2020/04/18,180497,740
2020/04/19,181026,529
2020/04/20,181417,391
2020/04/21,181789,372
2020/04/22,182261,472
2020/04/23,182852,591
2020/04/24,183459,607
2020/04/25,183828,369
2020/04/26,184184,356
2020/04/27,184864,680
2020/04/28,185614,750
2020/04/29,186209,595
2020/04/30,186984,775
2020/05/01,187460,476
2020/05/02,187800,340
2020/05/03,188174,374
2020/05/04,188629,455
2020/05/05,189168,539
2020/05/06,189595,427
2020/05/07,190180,585
2020/05/08,190902,722
2020/05/09,191266,364
2020/05/10,191779,513
2020/05/11,192438,659
2020/05/12,193296,858
2020/05/13,194105,809
2020/05/14,194777,672
2020/05/15,195299,522
2020/05/16,195670,371
2020/05/17,196084,414
2020/05/18,196570,486
2020/05/19,197063,493
2020/05/20,197628,565
2020/05/21,198119,491
2020/05/22,198518,399
2020/05/23,198908,390
2020/05/24,199240,332
2020/05/25,199703,463
2020/05/26,200349,646
2020/05/27,200899,550
2020/05/28,201371,472
2020/05/29,201807,436
2020/05/30,201954,147
2020/05/31,202138,184
2020/06/01,202422,284
2020/06/02,202646,224
2020/06/03,202983,337
2020/06/04,203372,389
2020/06/05,203717,345
2020/06/06,204026,309
2020/06/07,204390,364
2020/06/08,204890,500
2020/06/09,205163,273
2020/06/10,205660,497
2020/06/11,206016,356
2020/06/12,206397,381
2020/06/13,206674,277
2020/06/14,206898,224
2020/06/15,207201,303
2020/06/16,207617,416
2020/06/17,207936,319
2020/06/18,208115,179
2020/06/19,208285,170
2020/06/20,208372,87
2020/06/21,208487,115
2020/06/22,208702,215
2020/06/23,208966,264
2020/06/24,209124,158
2020/06/25,209209,85
2020/06/26,209366,157
2020/06/27,209666,300
2020/06/28,209779,113
2020/06/29,209961,182
2020/06/30,210172,211
2020/07/01,210373,201
2020/07/02,210644,271
2020/07/03,210853,209
2020/07/04,210965,112
