Date,Count,Delta
2023/10/17,171089,0
2023/10/19,171089,0
2023/10/20,171093,4
2023/10/21,171097,4
2023/10/22,171097,0
2023/10/23,171097,0
2023/10/24,171100,3
2023/10/25,171102,2
2023/10/26,171103,1
2023/10/27,171104,1
2023/10/28,171105,1
2023/10/29,171105,0
2023/10/30,171106,1
2023/10/31,171108,2
2023/11/01,171115,7
2023/11/02,171116,1
2023/11/03,171119,3
2023/11/04,171121,2
2023/11/05,171121,0
2023/11/06,171122,1
2023/11/07,171123,1
2023/11/08,171123,0
2023/11/09,171125,2
2023/11/10,171126,1
2023/11/11,171126,0
2023/11/12,171129,3
2023/11/13,171129,0
2023/11/14,171131,2
2023/11/15,171133,2
2023/11/16,171137,4
2023/11/17,171138,1
2023/11/18,171141,3
2023/11/19,171142,1
2023/11/20,171142,0
2023/11/21,171143,1
2023/11/22,171145,2
2023/11/23,171149,4
2023/11/24,171149,0
2023/11/25,171150,1
2023/11/26,171151,1
2023/11/27,171151,0
2023/11/28,171154,3
2023/11/29,171160,6
2023/11/30,171162,2
2023/12/01,171164,2
2023/12/02,171165,1
2023/12/03,171165,0
2023/12/04,171165,0
2023/12/05,171166,1
2023/12/06,171168,2
2023/12/07,171169,1
2023/12/08,171172,3
2023/12/09,171173,1
2023/12/10,171174,1
2023/12/11,171175,1
2023/12/12,171175,0
2023/12/13,171180,5
2023/12/14,171181,1
2023/12/15,171183,2
2023/12/16,171183,0
2023/12/17,171183,0
2023/12/18,171183,0
2023/12/19,171183,0
2023/12/20,171188,5
2023/12/21,171192,4
2023/12/22,171194,2
2023/12/23,171194,0
2023/12/24,171194,0
2023/12/25,171195,1
2023/12/26,171196,1
2023/12/27,171196,0
2023/12/28,171199,3
2023/12/29,171199,0
2023/12/30,171201,2
2023/12/31,171201,0
2024/01/01,171201,0
2024/01/02,171202,1
2024/01/03,171205,3
2024/01/04,171206,1
2024/01/05,171207,1
2024/01/06,171210,3
2024/01/07,171211,1
2024/01/08,171212,1
2024/01/09,171215,3
2024/01/10,171222,7
2024/01/11,171228,6
2024/01/12,171230,2
2024/01/13,171242,12
2024/01/14,171242,0
2024/01/15,171243,1
2024/01/16,171259,16
2024/01/17,171260,1
2024/01/18,171262,2
2024/01/19,171263,1
2024/01/20,171276,13
2024/01/21,171276,0
2024/01/22,171281,5
2024/01/23,171285,4
2024/01/24,171288,3
2024/01/25,171295,7
2024/01/26,171297,2
2024/01/27,171299,2
2024/01/28,171299,0
2024/01/29,171300,1
2024/01/30,171302,2
2024/01/31,171308,6
2024/02/01,171311,3
2024/02/02,171317,6
2024/02/03,171317,0
2024/02/04,171318,1
2024/02/05,171318,0
2024/02/06,171321,3
2024/02/07,171322,1
2024/02/08,171330,8
2024/02/09,171331,1
2024/02/10,171331,0
2024/02/11,171331,0
2024/02/12,171333,2
2024/02/13,171334,1
2024/02/14,171336,2
2024/02/15,171337,1
2024/02/16,171337,0
2024/02/17,171341,4
2024/02/18,171342,1
2024/02/19,171342,0
2024/02/20,171343,1
2024/02/21,171351,8
2024/02/22,171351,0
2024/02/23,171351,0
2024/02/24,171354,3
2024/02/25,171354,0
2024/02/26,171354,0
2024/02/27,171356,2
2024/02/28,171357,1
2024/02/29,171359,2
2024/03/01,171361,2
2024/03/02,171362,1
2024/03/03,171362,0
2024/03/04,171363,1
2024/03/05,171364,1
2024/03/06,171364,0
2024/03/07,171366,2
2024/03/08,171366,0
2024/03/09,171369,3
2024/03/10,171369,0
2024/03/11,171369,0
2024/03/12,171372,3
2024/03/13,171376,4
2024/03/14,171379,3
2024/03/15,171379,0
2024/03/16,171381,2
2024/03/17,171381,0
2024/03/18,171382,1
2024/03/19,171388,6
2024/03/20,171391,3
2024/03/21,171393,2
2024/03/22,171400,7
2024/03/23,171403,3
2024/03/24,171403,0
2024/03/25,171409,6
2024/03/26,171411,2
2024/03/27,171416,5
2024/03/28,171418,2
2024/03/29,171420,2
2024/03/30,171424,4
2024/03/31,171424,0
2024/04/01,171430,6
2024/04/02,171431,1
2024/04/03,171444,13
2024/04/04,171444,0
2024/04/05,171444,0
2024/04/06,171446,2
2024/04/07,171446,0
2024/04/08,171446,0
2024/04/09,171448,2
2024/04/10,171450,2
2024/04/11,171454,4
2024/04/12,171456,2
2024/04/13,171456,0
2024/04/14,171457,1
2024/04/15,171457,0
2024/04/16,171461,4
2024/04/17,171461,0
2024/04/18,171463,2
2024/04/19,171463,0
2024/04/20,171463,0
2024/04/21,171465,2
2024/04/22,171465,0
2024/04/23,171465,0
2024/04/24,171467,2
2024/04/25,171467,0
2024/04/26,171467,0
2024/04/27,171469,2
2024/04/28,171469,0
2024/04/29,171469,0
2024/04/30,171473,4
2024/05/01,171476,3
2024/05/02,171477,1
2024/05/03,171479,2
2024/05/04,171479,0
2024/05/05,171479,0
2024/05/06,171480,1
2024/05/07,171481,1
2024/05/08,171481,0
2024/05/09,171484,3
2024/05/10,171485,1
2024/05/11,171486,1
2024/05/12,171486,0
2024/05/13,171486,0
2024/05/14,171489,3
2024/05/15,171491,2
2024/05/16,171492,1
2024/05/17,171495,3
2024/05/18,171496,1
2024/05/19,171496,0
2024/05/20,171496,0
2024/05/21,171497,1
2024/05/22,171498,1
2024/05/23,171499,1
2024/05/24,171500,1
2024/05/25,171502,2
2024/05/26,171502,0
2024/05/27,171502,0
2024/05/28,171505,3
2024/05/29,171508,3
2024/05/30,171511,3
2024/05/31,171511,0
2024/06/01,171511,0
2024/06/02,171512,1
2024/06/03,171512,0
2024/06/04,171515,3
2024/06/05,171521,6
2024/06/06,171521,0
2024/06/07,171524,3
2024/06/08,171525,1
2024/06/09,171525,0
2024/06/10,171526,1
2024/06/11,171529,3
2024/06/12,171529,0
2024/06/13,171530,1
2024/06/14,171533,3
2024/06/15,171534,1
2024/06/16,171534,0
2024/06/17,171534,0
2024/06/18,171537,3
2024/06/19,171538,1
2024/06/20,171540,2
2024/06/21,171540,0
2024/06/22,171540,0
2024/06/23,171542,2
2024/06/24,171543,1
2024/06/25,171544,1
2024/06/26,171545,1
2024/06/27,171546,1
2024/06/28,171548,2
2024/06/29,171551,3
2024/06/30,171553,2
2024/07/01,171553,0
2024/07/02,171554,1
2024/07/03,171558,4
2024/07/04,171559,1
2024/07/05,171561,2
2024/07/06,171562,1
2024/07/07,171563,1
2024/07/08,171563,0
2024/07/09,171563,0
2024/07/10,171567,4
2024/07/11,171567,0
2024/07/12,171567,0
2024/07/13,171568,1
2024/07/14,171568,0
2024/07/15,171570,2
2024/07/16,171570,0
2024/07/17,171573,3
2024/07/18,171573,0
2024/07/19,171573,0
2024/07/20,171574,1
2024/07/21,171574,0
2024/07/22,171575,1
2024/07/23,171577,2
2024/07/24,171579,2
2024/07/25,171579,0
2024/07/26,171580,1
2024/07/27,171581,1
2024/07/28,171581,0
2024/07/29,171582,1
2024/07/30,171582,0
2024/07/31,171583,1
2024/08/01,171585,2
2024/08/02,171587,2
2024/08/03,171589,2
2024/08/04,171589,0
2024/08/05,171591,2
2024/08/06,171592,1
2024/08/07,171592,0
2024/08/08,171592,0
2024/08/09,171593,1
2024/08/10,171596,3
2024/08/11,171596,0
2024/08/12,171596,0
2024/08/13,171597,1
2024/08/14,171597,0
2024/08/15,171597,0
2024/08/16,171598,1
2024/08/17,171600,2
2024/08/18,171600,0
2024/08/19,171600,0
2024/08/20,171602,2
2024/08/21,171602,0
2024/08/22,171607,5
2024/08/23,171608,1
2024/08/24,171609,1
2024/08/25,171611,2
2024/08/26,171611,0
2024/08/27,171611,0
2024/08/28,171613,2
2024/08/29,171614,1
2024/08/30,171614,0
2024/08/31,171617,3
2024/09/01,171618,1
2024/09/02,171618,0
2024/09/03,171618,0
2024/09/04,171621,3
2024/09/05,171621,0
2024/09/06,171621,0
2024/09/07,171626,5
2024/09/08,171629,3
2024/09/09,171629,0
2024/09/10,171630,1
2024/09/11,171631,1
2024/09/12,171632,1
2024/09/13,171633,1
2024/09/14,171634,1
2024/09/15,171634,0
2024/09/16,171634,0
2024/09/17,171636,2
2024/09/18,171638,2
2024/09/19,171640,2
2024/09/20,171640,0
2024/09/21,171643,3
2024/09/22,171643,0
2024/09/23,171643,0
2024/09/24,171645,2
2024/09/25,171645,0
2024/09/26,171660,15
2024/09/27,171660,0
2024/09/28,171663,3
2024/09/29,171663,0
2024/09/30,171663,0
2024/10/01,171665,2
2024/10/02,171668,3
2024/10/03,171668,0
2024/10/04,171668,0
2024/10/05,171669,1
2024/10/06,171669,0
2024/10/07,171669,0
2024/10/08,171670,1
2024/10/09,171671,1
2024/10/10,171671,0
2024/10/11,171672,1
2024/10/12,171673,1
2024/10/13,171674,1
2024/10/14,171675,1
2024/10/15,171676,1
2024/10/16,171679,3
2024/10/17,171679,0
2024/10/18,171679,0
2024/10/19,171680,1
2024/10/20,171680,0
2024/10/21,171680,0
2024/10/22,171681,1
2024/10/23,171685,4
2024/10/24,171689,4
2024/10/25,171689,0
2024/10/26,171693,4
2024/10/27,171693,0
2024/10/28,171693,0
2024/10/29,171694,1
2024/10/31,171695,1
2024/11/01,171695,0
2024/11/02,171698,3
2024/11/03,171698,0
2024/11/04,171699,1
2024/11/05,171699,0
2024/11/06,171699,0
2024/11/07,171700,1
2024/11/08,171701,1
2024/11/09,171702,1
2024/11/10,171705,3
2024/11/11,171706,1
2024/11/12,171706,0
2024/11/13,171712,6
2024/11/14,171714,2
2024/11/15,171714,0
2024/11/16,171715,1
2024/11/17,171716,1
2024/11/18,171716,0
2024/11/19,171716,0
2024/11/20,171719,3
2024/11/21,171721,2
2024/11/22,171721,0
2024/11/23,171721,0
2024/11/24,171723,2
2024/11/25,171724,1
2024/11/26,171731,7
2024/11/27,171731,0
2024/11/28,171731,0
2024/11/29,171732,1
2024/11/30,171733,1
2024/12/01,171734,1
2024/12/02,171736,2
2024/12/03,171741,5
2024/12/04,171741,0
2024/12/05,171743,2
2024/12/06,171743,0
2024/12/07,171744,1
2024/12/08,171744,0
2024/12/09,171744,0
2024/12/10,171744,0
2024/12/11,171745,1
2024/12/12,171749,4
2024/12/13,171753,4
2024/12/14,171753,0
2024/12/15,171754,1
2024/12/16,171755,1
2024/12/17,171756,1
2024/12/18,171757,1
2024/12/19,171793,36
2024/12/20,171793,0
2024/12/21,171795,2
2024/12/22,171795,0
2024/12/23,171795,0
2024/12/24,171795,0
2024/12/25,171796,1
2024/12/26,171798,2
2024/12/27,171798,0
2024/12/28,171799,1
2024/12/29,171800,1
2024/12/30,171800,0
2024/12/31,171800,0
2025/01/01,171800,0
2025/01/02,171800,0
2025/01/03,171800,0
2025/01/04,171800,0
2025/01/05,171801,1
2025/01/06,171801,0
2025/01/07,171801,0
2025/01/08,171801,0
2025/01/09,171804,3
2025/01/10,171804,0
2025/01/11,171804,0
2025/01/12,171804,0
2025/01/13,171805,1
2025/01/14,171806,1
2025/01/15,171806,0
2025/01/16,171808,2
2025/01/17,171808,0
2025/01/18,171809,1
2025/01/19,171812,3
2025/01/20,171812,0
2025/01/21,171812,0
2025/01/22,171812,0
2025/01/23,171812,0
2025/01/24,171812,0
2025/01/25,171812,0
2025/01/26,171813,1
2025/01/27,171813,0
2025/01/28,171815,2
2025/01/29,171815,0
2025/01/30,171818,3
2025/01/31,171818,0
2025/02/01,171818,0
2025/02/02,171818,0
2025/02/03,171818,0
2025/02/04,171818,0
2025/02/05,171818,0
2025/02/06,171819,1
2025/02/07,171820,1
2025/02/08,171823,3
2025/02/09,171823,0
2025/02/10,171823,0
2025/02/11,171823,0
2025/02/12,171823,0
2025/02/13,171823,0
2025/02/14,171823,0
2025/02/15,171824,1
2025/02/16,171824,0
2025/02/17,171824,0
2025/02/18,171825,1
2025/02/19,171825,0
2025/02/20,171827,2
2025/02/21,171827,0
2025/02/22,171827,0
2025/02/23,171827,0
2025/02/24,171827,0
2025/02/25,171827,0
2025/02/26,171829,2
2025/02/27,171831,2
2025/02/28,171833,2
2025/03/01,171836,3
2025/03/02,171836,0
2025/03/03,171836,0
2025/03/04,171836,0
2025/03/05,171836,0
2025/03/06,171838,2
2025/03/07,171838,0
2025/03/08,171838,0
2025/03/09,171838,0
2025/03/10,171838,0
2025/03/11,171838,0
2025/03/12,171838,0
2025/03/13,171839,1
2025/03/14,171839,0
2025/03/15,171842,3
2025/03/16,171844,2
2025/03/17,171844,0
2025/03/18,171844,0
2025/03/19,171844,0
2025/03/20,171844,0
2025/03/21,171844,0
2025/03/22,171845,1
2025/03/23,171845,0
2025/03/24,171845,0
2025/03/25,171845,0
2025/03/26,171845,0
2025/03/27,171845,0
2025/03/28,171845,0
2025/03/29,171846,1
2025/03/30,171846,0
2025/03/31,171846,0
2025/04/01,171846,0
2025/04/02,171848,2
2025/04/03,171848,0
2025/04/04,171848,0
2025/04/05,171849,1
2025/04/06,171849,0
2025/04/07,171849,0
2025/04/08,171849,0
2025/04/09,171852,3
2025/04/10,171852,0
2025/04/11,171852,0
2025/04/12,171852,0
2025/04/13,171852,0
2025/04/14,171852,0
2025/04/15,171853,1
2025/04/16,171854,1
2025/04/17,171854,0
2025/04/18,171858,4
2025/04/19,171858,0
2025/04/20,171858,0
