Date,Count,Delta
2023/12/21,4578,0
2023/12/22,4588,10
2023/12/23,4588,0
2023/12/24,4588,0
2023/12/25,4592,4
2023/12/26,4592,0
2023/12/27,4594,2
2023/12/28,4594,0
2023/12/29,4594,0
2023/12/30,4594,0
2023/12/31,4594,0
2024/01/01,4594,0
2024/01/02,4594,0
2024/01/03,4597,3
2024/01/04,4597,0
2024/01/05,4597,0
2024/01/06,4605,8
2024/01/07,4605,0
2024/01/08,4605,0
2024/01/09,4607,2
2024/01/10,4607,0
2024/01/11,4619,12
2024/01/12,4619,0
2024/01/13,4621,2
2024/01/14,4623,2
2024/01/15,4623,0
2024/01/16,4788,165
2024/01/17,4812,24
2024/01/18,4812,0
2024/01/19,4814,2
2024/01/20,4821,7
2024/01/21,4834,13
2024/01/22,4834,0
2024/01/23,4834,0
2024/01/24,4836,2
2024/01/25,6038,1202
2024/01/26,6048,10
2024/01/27,6048,0
2024/01/28,6048,0
2024/01/29,6056,8
2024/01/30,6214,158
2024/01/31,6214,0
2024/02/01,6286,72
2024/02/02,6318,32
2024/02/03,6320,2
2024/02/04,6320,0
2024/02/05,6322,2
2024/02/06,6322,0
2024/02/07,6334,12
2024/02/08,6344,10
2024/02/09,6346,2
2024/02/10,6407,61
2024/02/11,6415,8
2024/02/12,6415,0
2024/02/13,6415,0
2024/02/14,6435,20
2024/02/15,6439,4
2024/02/16,6461,22
2024/02/17,6465,4
2024/02/18,6465,0
2024/02/19,6465,0
2024/02/20,6467,2
2024/02/21,6483,16
2024/02/22,6485,2
2024/02/23,6485,0
2024/02/24,6509,24
2024/02/25,6513,4
2024/02/26,6513,0
2024/02/27,6549,36
2024/02/28,6585,36
2024/02/29,6611,26
2024/03/01,6611,0
2024/03/02,6611,0
2024/03/03,6611,0
2024/03/04,6611,0
2024/03/05,6611,0
2024/03/06,6611,0
2024/03/07,6611,0
2024/03/08,6611,0
2024/03/09,6611,0
2024/03/10,6611,0
2024/03/11,6615,4
2024/03/12,6615,0
2024/03/13,6615,0
2024/03/14,6645,30
2024/03/15,6645,0
2024/03/16,6645,0
2024/03/17,6645,0
2024/03/18,6649,4
2024/03/19,6651,2
2024/03/20,6657,6
2024/03/21,6659,2
2024/03/22,6659,0
2024/03/23,6785,126
2024/03/24,6790,5
2024/03/25,6790,0
2024/03/26,6805,15
2024/03/27,6807,2
2024/03/28,6814,7
2024/03/29,6818,4
2024/03/30,6841,23
2024/03/31,6858,17
2024/04/01,6864,6
2024/04/02,6871,7
2024/04/03,6877,6
2024/04/04,6890,13
2024/04/05,6898,8
2024/04/06,6901,3
2024/04/07,6904,3
2024/04/08,6904,0
2024/04/09,6920,16
2024/04/10,6929,9
2024/04/11,6941,12
2024/04/12,6946,5
2024/04/13,6948,2
2024/04/14,6952,4
2024/04/15,6954,2
2024/04/16,6972,18
2024/04/17,6982,10
2024/04/18,6992,10
2024/04/19,7010,18
2024/04/20,7037,27
2024/04/21,7041,4
2024/04/22,7063,22
2024/04/23,7135,72
2024/04/24,7147,12
2024/04/25,7151,4
2024/04/26,7165,14
2024/04/27,7173,8
2024/04/28,7179,6
2024/04/29,7185,6
2024/04/30,7193,8
2024/05/01,7209,16
2024/05/02,7213,4
2024/05/03,7245,32
2024/05/04,7267,22
2024/05/05,7273,6
2024/05/06,7285,12
2024/05/07,7329,44
2024/05/08,7465,136
2024/05/09,7475,10
2024/05/10,7479,4
2024/05/11,7507,28
2024/05/12,7531,24
2024/05/13,7571,40
2024/05/14,7606,35
2024/05/15,7616,10
2024/05/16,7629,13
2024/05/17,7646,17
2024/05/18,7665,19
2024/05/19,7753,88
2024/05/20,7785,32
2024/05/21,7814,29
2024/05/22,7897,83
2024/05/23,7963,66
2024/05/24,7979,16
2024/05/25,8075,96
2024/05/26,8091,16
2024/05/27,8130,39
2024/05/28,8163,33
2024/05/29,8231,68
2024/05/30,8267,36
2024/05/31,8309,42
2024/06/01,8342,33
2024/06/02,8373,31
2024/06/03,8447,74
2024/06/04,8580,133
2024/06/05,8651,71
2024/06/06,8781,130
2024/06/07,9262,481
2024/06/08,9879,617
2024/06/09,10466,587
2024/06/10,11107,641
2024/06/11,11685,578
2024/06/12,12120,435
2024/06/13,12801,681
2024/06/14,13643,842
2024/06/15,14264,621
2024/06/16,14916,652
2024/06/17,15469,553
2024/06/18,16149,680
2024/06/19,17037,888
2024/06/20,18043,1006
2024/06/21,19082,1039
2024/06/22,20180,1098
